risk_level,bmi_category,age_group,avg(age),avg(bmi),avg(sleep_hours),count(gender)
?,normal,senior,61.0,NaN,9.0,2
?,overweight,young,29.0,29.9,4.0,1
?,overweight,middle,45.0,28.3,6.0,1
?,overweight,senior,63.666666666666664,26.8,5.333333333333333,2
?,normal,young,19.0,23.8,9.0,1
?,normal,middle,34.0,21.4,3.5,2
?,underweight,middle,37.0,18.0,5.0,1
HIGH,normal,senior,65.0,24.8,5.0,1
High,normal,young,27.5,NaN,3.5,2
High,overweight,middle,47.0,28.0,7.0,1
High,overweight,young,29.0,27.4,0.0,1
High,overweight,senior,62.0,26.7,4.0,1
High,normal,middle,36.0,23.3,4.0,2
High,normal,senior,59.5,22.450000000000003,7.0,3
High,underweight,young,20.0,17.25,8.0,2
LOW,normal,senior,58.5,NaN,4.75,3
LOW,overweight,senior,69.0,28.15,6.5,2
LOW,overweight,middle,39.666666666666664,26.166666666666668,6.666666666666667,3
LOW,normal,middle,40.5,20.8,7.0,2
LOW,underweight,senior,67.33333333333333,16.366666666666667,6.0,2
Low,normal,middle,46.0,NaN,6.5,1
Low,overweight,senior,57.0,29.4,5.0,1
Low,overweight,young,25.0,27.8,4.0,1
Low,overweight,middle,38.666666666666664,27.766666666666666,4.0,3
Low,normal,young,21.0,24.1,4.0,2
Low,underweight,senior,55.5,17.25,9.0,1
Low,underweight,young,28.0,15.1,6.0,1
Medium,normal,senior,66.28571428571429,NaN,5.285714285714286,7
Medium,overweight,senior,62.5,28.95,7.0,2
Medium,overweight,middle,36.75,27.85,6.25,2
Medium,underweight,senior,66.0,18.0,9.0,1
Medium,underweight,young,28.0,16.5,0.0,1
high,normal,middle,41.5,NaN,3.5,5
high,normal,senior,61.5,NaN,8.0,1
high,overweight,young,25.0,29.5,6.0,1
high,overweight,senior,75.0,29.1,9.0,1
high,normal,young,24.0,23.2,9.0,1
high,underweight,young,26.0,17.8,4.0,1
high,underweight,middle,43.0,16.133333333333333,5.666666666666667,3
